,url,prize,photographer,year
1784,https://www.worldpressphoto.org/collection/photo-contest/2003/robert-boguslawski-tomasz-gudzowaty-sps/1,"Stories, 2nd prize", Robert Boguslawski & Tomasz Gudzowaty,2003
1785,https://www.worldpressphoto.org/collection/photo-contest/2003/qi-xiaolong/1,"Singles, 3rd prize", Qi Xiaolong,2003
1786,https://www.worldpressphoto.org/collection/photo-contest/2003/peter-essick/1,"Stories, 1st prize",Peter Essick,2003
1787,https://www.worldpressphoto.org/collection/photo-contest/2003/bruno-stevens/1,"Stories, 2nd prize",Bruno Stevens,2003
1788,https://www.worldpressphoto.org/collection/photo-contest/2003/peter-dench/1,"Stories, 3rd prize",Peter Dench,2003
1789,https://www.worldpressphoto.org/collection/photo-contest/2003/brent-stirton-po/1,"Singles, 1st prize",Brent Stirton,2003
1790,https://www.worldpressphoto.org/collection/photo-contest/2003/bruce-davidson/1,"Singles, 3rd prize",Bruce Davidson,2003
1791,https://www.worldpressphoto.org/collection/photo-contest/2003/george-georgiou/1,"Stories, 1st prize",George Georgiou,2003
1792,https://www.worldpressphoto.org/collection/photo-contest/2003/lars-krabbe/1,"Singles, 2nd prize",Lars Krabbe,2003
1793,https://www.worldpressphoto.org/collection/photo-contest/2003/kristen-ashburn/1,"Stories, 3rd prize",Kristen Ashburn,2003
1794,https://www.worldpressphoto.org/collection/photo-contest/2003/matias-costa/1,"Singles, 1st prize",Matias Costa,2003
1795,https://www.worldpressphoto.org/collection/photo-contest/2003/pablo-martinez-monsivais/1,"Singles, 3rd prize",Pablo Martinez Monsivais,2003
1796,https://www.worldpressphoto.org/collection/photo-contest/2003/sarah-leen/1,"Singles, 2nd prize",Sarah Leen,2003
1797,https://www.worldpressphoto.org/collection/photo-contest/2003/brent-stirton-pos/1,"Stories, 2nd prize",Brent Stirton,2003
1798,https://www.worldpressphoto.org/collection/photo-contest/2004/alexander-nicholson/1,"Stories, 3rd prize",Alexander Nicholson,2004
1799,https://www.worldpressphoto.org/collection/photo-contest/2004/yuri-kozyrev/1,"Stories, 1st prize",Yuri Kozyrev,2004
1800,https://www.worldpressphoto.org/collection/photo-contest/2004/jerry-lampen/1,"Singles, 1st prize",Jerry Lampen,2004
1801,https://www.worldpressphoto.org/collection/photo-contest/2004/moises-saman/1,"Singles, 2nd prize",Moises Saman,2004
