initial index,Path,Colors_RGB
312,F:\Temp\1967\Fred Ihrt\4.jpg,"[[128, 128, 128], [23, 23, 23], [239, 239, 239], [159, 159, 159], [99, 99, 99]]"
313,F:\Temp\1967\Thomas Hoepker\4.jpg,"[[167, 167, 167], [61, 61, 61], [223, 223, 223], [117, 117, 117], [192, 192, 192]]"
314,F:\Temp\1967\Thomas Hoepker\3.jpg,"[[27, 27, 27], [123, 123, 123], [235, 235, 235], [72, 72, 72], [167, 167, 167]]"
315,F:\Temp\1967\Fred Ihrt\1.jpg,"[[36, 36, 36], [110, 110, 110], [195, 195, 195], [76, 76, 76], [152, 152, 152]]"
316,F:\Temp\1967\Thomas Hoepker\1.jpg,"[[158, 158, 158], [254, 254, 254], [54, 54, 54], [192, 192, 192], [114, 114, 114]]"
317,F:\Temp\1967\Peter Jackson\1.jpg,"[[81, 81, 81], [205, 205, 205], [134, 134, 134], [93, 93, 93], [179, 179, 179]]"
318,F:\Temp\1967\Fred Ihrt\5.jpg,"[[105, 105, 105], [197, 197, 197], [64, 64, 64], [246, 246, 246], [147, 147, 147]]"
319,F:\Temp\1967\Gérard Klijn\1.jpg,"[[37, 37, 37], [200, 200, 200], [117, 117, 117], [71, 71, 71], [164, 164, 164]]"
320,F:\Temp\1967\Cheong-han Aw\1.jpg,"[[155, 155, 155], [229, 229, 229], [89, 89, 89], [200, 200, 200], [122, 122, 122]]"
321,F:\Temp\1967\Thomas Hoepker\2.jpg,"[[203, 203, 203], [71, 71, 71], [159, 159, 159], [30, 30, 30], [113, 113, 113]]"
322,F:\Temp\1967\Peter Skingley\1.jpg,"[[168, 168, 168], [230, 230, 230], [119, 119, 119], [204, 204, 204], [44, 44, 44]]"
323,F:\Temp\1967\Peter Elinskas\1.jpg,"[[32, 32, 32], [207, 207, 207], [110, 110, 110], [158, 158, 158], [70, 70, 70]]"
324,F:\Temp\1967\Stewart Fraser\1.jpg,"[[201, 201, 201], [97, 97, 97], [137, 137, 137], [61, 61, 61], [173, 173, 173]]"
325,F:\Temp\1967\Fred Ihrt\7.jpg,"[[71, 71, 71], [157, 157, 157], [33, 33, 33], [225, 225, 225], [112, 112, 112]]"
326,F:\Temp\1967\Gérard Klijn\1.jpg,"[[37, 37, 37], [200, 200, 200], [117, 117, 117], [71, 71, 71], [164, 164, 164]]"
327,F:\Temp\1967\Peter Elinskas\2.jpg,"[[169, 169, 169], [77, 77, 77], [49, 49, 49], [119, 119, 119], [213, 213, 213]]"
328,F:\Temp\1967\Ernst Saxer\1.jpg,"[[218, 218, 218], [76, 76, 76], [156, 156, 156], [120, 120, 120], [192, 192, 192]]"
329,F:\Temp\1967\Thomas Hoepker\4.jpg,"[[167, 167, 167], [61, 61, 61], [223, 223, 223], [117, 117, 117], [192, 192, 192]]"
330,F:\Temp\1967\Co Rentmeester\1.jpg,"[[18, 28, 44], [85, 82, 79], [219, 198, 177], [54, 56, 60], [146, 132, 112]]"
